episode,readiness_status,readiness_blockers,qwen_call_count,go_action_count,go_execution_count,missing_go_execution_count,failure_classification_missing_count,pitch_reset_count,missing_pitch_reset_count,unneutralized_pitch_count,terminal_missing_pitch_reset_count,terminal_unneutralized_pitch_count,priors_success_count,priors_parse_fail_count,priors_fallback_count,priors_context_item_count,priors_last_error,vlm_json_fallback_count,vlm_json_last_error,point_verification_calls,point_verification_passes,point_verification_rejections,point_verification_errors,memory_verdict_required_calls,memory_verdict_explicit_calls,memory_verdict_main_output_explicit_calls,memory_verdict_dedicated_verifier_explicit_calls,memory_verdict_dedicated_verifier_unresolved_calls,memory_verdict_missing_calls,memory_verdict_backend_deferred_calls,memory_verdict_explicit_rate,memory_verdict_operation_counts,llm_error_calls,failure_class_counts,fps_mp4,metric_mp4,trajectory_dir
0,ready,,32,19,19,0,0,19,0,0,0,0,0,1,1,6,priors_truncated_reasoning_rejected,0,,6,5,1,0,18,18,1,17,0,0,0,1.0,"{""confirm_revisit_node"": 5, ""defer_revisit_candidate"": 11, ""reject_revisit_candidate"": 2, ""request_merge_nodes"": 0}",0,"{""collision_blocked"": 7, ""progress"": 12}",${VOCA_ROOT}/outputs/stage10_final_v3_3ep_32b_awq_20260712/trajectories/trajectory_0/fps.mp4,${VOCA_ROOT}/outputs/stage10_final_v3_3ep_32b_awq_20260712/trajectories/trajectory_0/metric.mp4,${VOCA_ROOT}/outputs/stage10_final_v3_3ep_32b_awq_20260712/trajectories/trajectory_0
1,ready,,6,5,5,0,0,5,0,0,0,0,0,1,1,5,priors_truncated_reasoning_rejected,0,,0,0,0,0,0,0,0,0,0,0,0,1.0,"{""confirm_revisit_node"": 0, ""defer_revisit_candidate"": 0, ""reject_revisit_candidate"": 0, ""request_merge_nodes"": 0}",0,"{""progress"": 5}",${VOCA_ROOT}/outputs/stage10_final_v3_3ep_32b_awq_20260712/trajectories/trajectory_1/fps.mp4,${VOCA_ROOT}/outputs/stage10_final_v3_3ep_32b_awq_20260712/trajectories/trajectory_1/metric.mp4,${VOCA_ROOT}/outputs/stage10_final_v3_3ep_32b_awq_20260712/trajectories/trajectory_1
