episode,planner_name,object_goal,localization_source,uses_sim_ground_truth_pose,benchmark_protocol,coarse_goal_enabled,coarse_goal_source,coarse_goal_uncertainty,coarse_goal_map_xy,coarse_goal_provider_sha256,coarse_goal_final_distance_m,coarse_goal_guard_calls,coarse_goal_distractor_rejections,coarse_goal_stop_deferrals,coarse_goal_direction_guard_calls,coarse_goal_direction_rejections,coarse_goal_direction_detour_exemptions,success_distance_m,allow_sliding,success,spl,soft_spl,collision_count,start_distance_to_goal,final_distance_to_goal,llm_calls,llm_calls_deadlock,llm_calls_verification,llm_success_calls,llm_error_calls,llm_avg_time_sec,priors_calls,priors_avg_time_sec,qwen_navigation_vlm_calls,qwen_navigation_vlm_avg_time_sec,llm_last_error,priors_success_count,priors_parse_fail_count,priors_fallback_count,priors_context_item_count,priors_last_error,vlm_json_fallback_count,vlm_json_last_error,qwen_point_verification_calls,qwen_point_verification_passes,qwen_point_verification_rejections,qwen_point_verification_errors,qwen_point_verification_backend_calls,qwen_point_verification_consistency_retries,qwen_point_verification_avg_time_sec,qwen_stop_verification_calls,qwen_stop_verification_passes,qwen_stop_verification_rejections,qwen_stop_verification_errors,qwen_stop_verification_avg_time_sec,qwen_stop_identity_critic_calls,qwen_stop_identity_critic_passes,qwen_stop_identity_critic_rejections,qwen_stop_identity_critic_errors,qwen_stop_identity_rejection_cooldown_skips,qwen_revisit_verification_calls,qwen_revisit_verification_resolved,qwen_revisit_verification_errors,qwen_revisit_verification_avg_time_sec,qwen_point_calls,qwen_point_fallback_count,qwen_rgb_candidates_generated,qwen_rgb_candidates_offered,qwen_rgb_candidates_avoided,qwen_rgb_candidates_verification_required,qwen_rgb_candidates_visually_supported,qwen_raw_go_decisions,qwen_pixel_candidate_gate_passes,qwen_pixel_candidate_gate_rejections,qwen_selected_candidates_verification_required,qwen_selected_candidate_visual_support_avg,qwen_negative_saturation_recovery_calls,qwen_negative_saturation_recovery_candidates_offered,qwen_negative_saturation_recovery_candidates_selected,qwen_negative_saturation_recovery_go_executed,qwen_negative_saturation_recovery_verifier_passes,qwen_negative_saturation_recovery_verifier_rejections,qwen_pixel_candidate_marker_alias_repairs,qwen_strategic_forced_exit_checks,qwen_strategic_forced_exit_passes,qwen_strategic_forced_exit_rejections,qwen_strategic_force_leave_overrides,qwen_strategic_forced_exit_failures,qwen_strategic_forced_exit_failure_streak,qwen_strategic_full_sweep_requests,qwen_strategic_memory_backtrack_overrides,qwen_strategic_memory_backtrack_attempts,qwen_strategic_memory_backtrack_executed,qwen_strategic_memory_backtrack_point_rejections,qwen_strategic_novel_sector_overrides,qwen_strategic_novel_sector_attempts,qwen_strategic_novel_sector_executed,qwen_strategic_novel_sector_no_progress,qwen_strategic_normal_backtrack_rejections,qwen_strategic_exit_alias_repairs,qwen_strategic_visual_exit_ref_repairs,qwen_exit_floor_relaxations,qwen_strategic_search_current_room,qwen_strategic_leave_current_room,qwen_strategic_traverse_gateway,qwen_strategic_approach_target,qwen_strategic_verify_target,qwen_strategic_escape_deadlock,qwen_last_room,qwen_last_navigation_intent,qwen_last_room_search_status,memory_verdict_required_calls,memory_verdict_explicit_calls,memory_verdict_main_output_explicit_calls,memory_verdict_dedicated_verifier_explicit_calls,memory_verdict_dedicated_verifier_unresolved_calls,memory_verdict_missing_calls,memory_verdict_backend_deferred_calls,memory_verdict_explicit_rate,memory_verdict_confirm_calls,memory_verdict_reject_calls,memory_verdict_defer_calls,qwen_last_angle,qwen_last_u,qwen_last_v,qwen_last_confidence,qwen_last_reason,steps_json,memory_graph_json,yoloe_detect_calls,yoloe_detect_avg_time_sec,yoloe_detect_total_time_sec,episode_time_sec,configured_max_episode_steps,truncated_by_max_steps,benchmark_valid,benchmark_invalid_reason,qwen_vlm_circuit_breaker_tripped,qwen_vlm_max_consecutive_failures,planning_cycles,planning_cycle_limit_reached,num_steps,total_distance_m,qwen_go_actions,qwen_rotate_actions,qwen_zero_yaw_rotate_corrections,qwen_observation_requests,qwen_forced_observation_requests,qwen_runner_overrides,qwen_go_no_progress,qwen_collision_tolerant_progress_actions,qwen_target_approach_limited_actions,qwen_target_approach_memory_overrides,qwen_target_stop_refinement_actions,qwen_target_anchor_reacquisition_actions,qwen_target_lock_exhaustions,qwen_target_terminal_micro_approach_actions,qwen_target_terminal_micro_approach_collisions,qwen_target_approach_detour_triggers,qwen_pitch_reset_actions,qwen_stop_actions,qwen_memory_backtrack_go_actions,qwen_memory_negative_selection_rejections,memory_place_nodes,memory_failed_frontier_nodes,memory_negative_edges,memory_same_place_edges,memory_visual_keyframes,memory_embedding_backend,memory_revisit_threshold,memory_embedding_observations,memory_embedding_views,memory_revisit_queries,memory_revisit_candidate_contexts,memory_revisit_candidates_offered,memory_ops_requested,memory_ops_accepted,memory_ops_rejected,memory_revisits_confirmed,memory_revisits_rejected,memory_soft_merges,memory_object_belief_updates,memory_semantic_state_updates,memory_room_category_updates,memory_room_transitions,benchmark_manifest,memory_schema
0,qwen_vlm,chair,habitat_sim_pose_declared,1,hm3d_derived_coarse_goalnav_v1_sim_pose_noise0p5,1,upstream_global_planner,medium,"[7.882316,-2.743365]",be0dbc1a36227f9dabb226b7f0de19a1d53501560044420802d82262ca1739a7,0.2033,4,2,0,23,4,13,0.1,0,1.0,0.4290301284947193,0.42757576159068544,28,8.471982955932617,0.028719129040837288,105,0,74,105,0,12.68837545354409,1,41.4833523289999,30,13.56386321396955,,0,1,1,6,priors_truncated_reasoning_rejected,0,,6,5,1,0,6,0,3.173057333333333,51,1,15,0,14.651162499999998,8,4,4,0,15,17,17,0,10.965889117647059,32,27,570,417,153,71,346,28,28,0,1,0.9164071428571428,0,0,0,0,0,0,0,10,6,4,3,6,1,2,0,0,0,0,0,0,0,0,1,4,0,3,19,6,0,1,1,5,unknown,verify_target,target_found,18,18,1,17,0,0,0,1.0,5,2,11,0,320,384,fallback,stop condition satisfied,${VOCA_ROOT}/outputs/stage10_final_v3_3ep_32b_awq_20260712/trajectories/trajectory_0/memory/steps.json,${VOCA_ROOT}/outputs/stage10_final_v3_3ep_32b_awq_20260712/trajectories/trajectory_0/memory/memory_graph.json,0,0.0,0.0,977.0837562030065,1000,0,1,,0,0,32,0,602,19.746825207024813,19,4,0,8,0,0,7,3,2,0,0,0,0,0,0,0,14,1,4,0,10,5,5,10,134,dinov2,0.84,32,119,31,18,37,18,18,0,5,2,5,2,32,13,4,${VOCA_ROOT}/outputs/stage10_final_v3_3ep_32b_awq_20260712/trajectories/trajectory_0/benchmark_manifest.json,nav_memory_context_v6
1,qwen_vlm,plant,habitat_sim_pose_declared,1,hm3d_derived_coarse_goalnav_v1_sim_pose_noise0p5,1,upstream_global_planner,medium,"[7.51026,-4.087229]",be0dbc1a36227f9dabb226b7f0de19a1d53501560044420802d82262ca1739a7,0.6522,5,0,3,1,0,0,0.1,0,1.0,0.8312310063374002,0.7989816539276542,1,2.422097682952881,0.09397036582231522,12,0,10,12,0,15.700828717001187,1,41.34965797699988,1,13.865771042008419,,0,1,1,5,priors_truncated_reasoning_rejected,0,,0,0,0,0,0,0,0.0,10,1,4,0,10.938074400000001,5,5,0,0,0,0,0,0,0.0,6,5,36,36,0,7,29,5,5,0,0,0.9561399999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1,0,unknown,verify_target,target_found,0,0,0,0,0,0,0,1.0,0,0,0,0,320,384,fallback,stop condition satisfied,${VOCA_ROOT}/outputs/stage10_final_v3_3ep_32b_awq_20260712/trajectories/trajectory_1/memory/steps.json,${VOCA_ROOT}/outputs/stage10_final_v3_3ep_32b_awq_20260712/trajectories/trajectory_1/memory/memory_graph.json,0,0.0,0.0,116.50928324100096,1000,0,1,,0,0,6,0,42,2.9138683043420315,5,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,7,1,0,0,3,0,0,0,6,dinov2,0.84,6,6,5,1,1,0,0,0,0,0,0,5,6,1,0,${VOCA_ROOT}/outputs/stage10_final_v3_3ep_32b_awq_20260712/trajectories/trajectory_1/benchmark_manifest.json,nav_memory_context_v6
